10	0.25	12664
10	0.5	17062
10	0.75	28926
10	1	12592
50	0.25	238540
50	0.5	391404
50	0.75	249705
50	1	296850
100	0.25	1182945
100	0.5	1354672
100	0.75	950336
100	1	715104
500	0.25	17003307
500	0.5	17385834
500	0.75	17577464
500	1	18325693
1000	0.25	67126784
1000	0.5	69112734
1000	0.75	70039978
1000	1	71749150
